2.5: val, [0.3473313327973676, 0.020622069699275204], sec, [0.523788101095195, 0.0752442357088173]
2.25: val, [0.34985927200675254, 0.020090937093380723], sec, [0.49728876848826875, 0.06646885968343484]
2.75: val, [0.3333448288678916, 0.02084322842028741], sec, [0.46478485462659946, 0.07822080844031806]
3: val, [0.31803775834818426, 0.02345847007049021], sec, [0.40410797382674846, 0.09246721823592821]
3.25: val, [0.3063587224473039, 0.026440882712200867], sec, [0.26924060430914043, 0.09355798155047906]
3.5: val, [0.26544553389289527, 0.03587973466105189], sec, [0.18352243092959872, 0.09652206242192325]
3.75: val, [0.17260067098946036, 0.057657199456796114], sec, [0.1300686203315512, 0.10506826859930823]
3.75: val, [0.17260067098946036, 0.057657199456796114], sec, [0.1300686203315512, 0.10506826859930823]
2: val, [0.3470922473479644, 0.02088764946378962], sec, [0.48399754078014456, 0.06628166673516452]
3.25: val, [0.3063587224473039, 0.026440882712200867], sec, [0.26924060430914043, 0.09355798155047906]
3.25: val, [0.3063587224473039, 0.026440882712200867], sec, [0.26924060430914043, 0.09355798155047906]
3.25: val, [0.3063587224473039, 0.026440882712200867], sec, [0.26924060430914043, 0.09355798155047906]
3.5: val, [0.26544553389289527, 0.03587973466105189], sec, [0.18352243092959872, 0.09652206242192325]
3.75: val, [0.17260067098946036, 0.057657199456796114], sec, [0.1300686203315512, 0.10506826859930823]
3: val, [0.31803775834818426, 0.02345847007049021], sec, [0.40410797382674846, 0.09246721823592821]
