1.25: val, [0.5722678972276115, 0.01432839557659122], sec, [0.6216531048540304, 0.05272453787378537], fav, [0.11691002601989209, 0.001730558719266902], unfav, [0.13828860847040852, 0.0022321202460216048], kfav, [0.13262552352137374, 0.004192064663285918], kunfav, [0.19120963620147816, 0.011746412056826057]
1.5: val, [0.5450596680875011, 0.015720112545535857], sec, [0.6148320197433029, 0.054629904719679934], fav, [0.12091603323469459, 0.0019646832781855927], unfav, [0.1401662711607667, 0.0026449862456161795], kfav, [0.13379125110198095, 0.0047823519916149184], kunfav, [0.1842293589126432, 0.012643757861774413]
1.75: val, [0.53504769209872, 0.015294413022805872], sec, [0.5797436086699163, 0.05336688737112207], fav, [0.12190670710121522, 0.002060645917448155], unfav, [0.1451380760634279, 0.0028293396382339845], kfav, [0.13020221068480267, 0.005964152650796596], kunfav, [0.1953172094530267, 0.018022392842601532]
2.0: val, [0.5088631168005024, 0.015744611745534733], sec, [0.5553692050304586, 0.049167028644095605], fav, [0.12651473919209033, 0.0021977415031603047], unfav, [0.1485371568920097, 0.003325575886404726], kfav, [0.13663265456795579, 0.006981780344568572], kunfav, [0.16794752163947102, 0.017246572989524513]
3.5: val, [0.2703255588825917, 0.06821957266236721], sec, [0.4342257327021969, 0.21777738691877124], fav, [0.1893885015747543, 0.015172131163145357], unfav, [0.156118132590384, 0.018188238107902193], kfav, [0.5135323193010668, 0.25577678575737023], kunfav, [0.49788123498452674, 0.270160939292323]
3.25: val, [0.30673971052744303, 0.04030566739865905], sec, [0.3072083396461029, 0.14464363907728658], fav, [0.17980312304479673, 0.007443037000867973], unfav, [0.15469073937132685, 0.00968882656521566], kfav, [0.48563867079961576, 0.2569253964425136], kunfav, [0.5088751082600096, 0.26115998651225925]
3: val, [0.334971392751484, 0.028636806059195382], sec, [0.28635572862816405, 0.09397647392664095], fav, [0.16942589040970063, 0.004905754769345483], unfav, [0.15271130489675394, 0.005800653434112865], kfav, [0.1481271220995306, 0.02462780162341741], kunfav, [0.5648732372674545, 0.22213003235913067]
2.75: val, [0.3782368577106828, 0.022520346525729675], sec, [0.41287698597602684, 0.06758791543888629], fav, [0.15749181709615812, 0.0037111198199699176], unfav, [0.14831645841503993, 0.004824620600010097], kfav, [0.1519908296133221, 0.013305071841122501], kunfav, [0.12599263816926606, 0.046648222003130596]
2.5: val, [0.43094848961087073, 0.01936826385425699], sec, [0.48283107930032954, 0.052678009219915715], fav, [0.14794446422402202, 0.00307597818863758], unfav, [0.15067990272201406, 0.004033076286582719], kfav, [0.1415380024167205, 0.009502880041611516], kunfav, [0.1150229666572929, 0.02271930218079164]
2.25: val, [0.4565739505967987, 0.01667826764580474], sec, [0.5322571592214593, 0.05183092976663052], fav, [0.13916771450073176, 0.0027182072936426565], unfav, [0.1518343931437414, 0.003865504304034941], kfav, [0.1354798566141787, 0.008067351056141538], kunfav, [0.1255878476775695, 0.017731704630975308]
